question_id:ID(Question),text
Q04124,What is (are) Congenital porphyria ?
Q04125,What are the symptoms of Congenital porphyria ?
Q04126,What are the symptoms of Acroosteolysis dominant type ?
Q04127,What is (are) Chromosome 12q deletion ?
Q04128,What is (are) Pulmonary arterial hypertension ?
Q04129,What are the symptoms of Pulmonary arterial hypertension ?
Q04130,What are the treatments for Pulmonary arterial hypertension ?
Q04131,"What is (are) Periodic fever, aphthous stomatitis, pharyngitis and adenitis ?"
Q04132,"What are the symptoms of Periodic fever, aphthous stomatitis, pharyngitis and adenitis ?"
Q04133,"What causes Periodic fever, aphthous stomatitis, pharyngitis and adenitis ?"
Q04134,"How to diagnose Periodic fever, aphthous stomatitis, pharyngitis and adenitis ?"
Q04135,"What are the treatments for Periodic fever, aphthous stomatitis, pharyngitis and adenitis ?"
Q04136,What is (are) X-linked dominant scapuloperoneal myopathy ?
Q04137,What are the symptoms of X-linked dominant scapuloperoneal myopathy ?
Q04138,What causes X-linked dominant scapuloperoneal myopathy ?
Q04139,What are the treatments for X-linked dominant scapuloperoneal myopathy ?
Q04140,"What are the symptoms of Ichthyosis hystrix, Curth Macklin type ?"
Q04141,What is (are) Tularemia ?
Q04142,What are the symptoms of Tularemia ?
Q04143,What causes Tularemia ?
Q04144,What are the treatments for Tularemia ?
Q04145,What are the symptoms of Osteogenesis imperfecta Levin type ?
Q04146,What is (are) Valinemia ?
Q04147,What are the symptoms of Valinemia ?
Q04148,What are the treatments for Valinemia ?
Q04149,What is (are) Porencephaly ?
Q04150,What are the symptoms of Porencephaly ?
Q04151,What are the symptoms of Lethal chondrodysplasia Moerman type ?
Q04152,What is (are) Doyne honeycomb retinal dystrophy ?
Q04153,What are the symptoms of Doyne honeycomb retinal dystrophy ?
Q04154,Is Doyne honeycomb retinal dystrophy inherited ?
Q04155,What are the treatments for Doyne honeycomb retinal dystrophy ?
Q04156,What are the symptoms of Familial joint instability syndrome ?
Q04157,What are the symptoms of 3 alpha methylcrotonyl-CoA carboxylase 2 deficiency ?
Q04158,What is (are) Osteopetrosis autosomal recessive 7 ?
Q04159,What are the symptoms of Osteopetrosis autosomal recessive 7 ?
Q04160,"What are the symptoms of Dystonia 2, torsion, autosomal recessive ?"
Q04161,What are the symptoms of Yemenite deaf-blind hypopigmentation syndrome ?
Q04162,What are the symptoms of Branchial arch syndrome X-linked ?
Q04163,What is (are) Spastic paraplegia 11 ?
Q04164,What are the symptoms of Spastic paraplegia 11 ?
Q04165,What are the symptoms of Epilepsy juvenile absence ?
Q04166,What are the symptoms of Spastic paraplegia 19 ?
Q04167,What are the symptoms of Tetralogy of fallot and glaucoma ?
Q04168,What are the symptoms of Episodic ataxia with nystagmus ?
Q04169,What are the symptoms of Kowarski syndrome ?
Q04170,"What are the symptoms of Maturity-onset diabetes of the young, type 8 ?"
Q04171,What is (are) Lymphedema-distichiasis syndrome ?
Q04172,What are the symptoms of Lymphedema-distichiasis syndrome ?
Q04173,What are the symptoms of Corneal endothelial dystrophy type 2 ?
Q04174,Is Corneal endothelial dystrophy type 2 inherited ?
Q04175,What is (are) Juvenile temporal arteritis ?
Q04176,What are the symptoms of Patterned dystrophy of retinal pigment epithelium ?
Q04177,What are the symptoms of Bardet-Biedl syndrome 9 ?
Q04178,What is (are) Branchiooculofacial syndrome ?
Q04179,What are the symptoms of Branchiooculofacial syndrome ?
Q04180,Is Branchiooculofacial syndrome inherited ?
Q04181,How to diagnose Branchiooculofacial syndrome ?
Q04182,"What is (are) Ehlers-Danlos syndrome, kyphoscoliosis type ?"
Q04183,"What are the symptoms of Ehlers-Danlos syndrome, kyphoscoliosis type ?"
Q04184,"What causes Ehlers-Danlos syndrome, kyphoscoliosis type ?"
Q04185,"Is Ehlers-Danlos syndrome, kyphoscoliosis type inherited ?"
Q04186,"How to diagnose Ehlers-Danlos syndrome, kyphoscoliosis type ?"
Q04187,"What are the treatments for Ehlers-Danlos syndrome, kyphoscoliosis type ?"
Q04188,What are the symptoms of Brachydactyly type A1 ?
Q04189,What is (are) Linear porokeratosis ?
Q04190,What are the treatments for Linear porokeratosis ?
Q04191,What is (are) Cheilitis glandularis ?
Q04192,What are the symptoms of Cheilitis glandularis ?
Q04193,What are the treatments for Cheilitis glandularis ?
Q04194,"What are the symptoms of Myelocytic leukemia-like syndrome, familial, chronic ?"
Q04195,What is (are) Intravenous leiomyomatosis ?
Q04196,What are the symptoms of Intravenous leiomyomatosis ?
Q04197,What are the treatments for Intravenous leiomyomatosis ?
Q04198,What is (are) Absence of Tibia ?
Q04199,What are the symptoms of Absence of Tibia ?
Q04200,"What are the symptoms of Chondrodysplasia, Grebe type ?"
Q04201,What is (are) Familial HDL deficiency ?
Q04202,What are the symptoms of Familial HDL deficiency ?
Q04203,What are the symptoms of Parkinson disease type 9 ?
Q04204,What is (are) Tourette syndrome ?
Q04205,What are the symptoms of Tourette syndrome ?
Q04206,What causes Tourette syndrome ?
Q04207,Is Tourette syndrome inherited ?
Q04208,What are the treatments for Tourette syndrome ?
Q04209,What is (are) Maternally inherited diabetes and deafness ?
Q04210,What are the symptoms of Maternally inherited diabetes and deafness ?
Q04211,Is Maternally inherited diabetes and deafness inherited ?
Q04212,What is (are) Intestinal pseudoobstruction neuronal chronic idiopathic X-linked ?
Q04213,What are the symptoms of Intestinal pseudoobstruction neuronal chronic idiopathic X-linked ?
Q04214,What is (are) Optic neuritis ?
Q04215,How to diagnose Optic neuritis ?
Q04216,"What are the symptoms of Mitral valve prolapse, familial, X-linked ?"
Q04217,What is (are) Protein C deficiency ?
Q04218,What are the symptoms of Protein C deficiency ?
Q04219,What causes Protein C deficiency ?
Q04220,Is Protein C deficiency inherited ?
Q04221,How to diagnose Protein C deficiency ?
Q04222,What are the treatments for Protein C deficiency ?
Q04223,"What are the symptoms of Rhizomelic dysplasia, scoliosis, and retinitis pigmentosa ?"
Q04224,What are the symptoms of 1q44 microdeletion syndrome ?
Q04225,What is (are) Leukodystrophy ?
Q04226,What are the symptoms of Nephrosis deafness urinary tract digital malformation ?
Q04227,What are the symptoms of Acromesomelic dysplasia Hunter Thompson type ?
Q04228,What is (are) Snyder-Robinson syndrome ?
Q04229,What are the symptoms of Snyder-Robinson syndrome ?
Q04230,What are the symptoms of Tibia absent polydactyly arachnoid cyst ?
Q04231,What is (are) Pars planitis ?
Q04232,What are the symptoms of Pars planitis ?
Q04233,What causes Pars planitis ?
Q04234,How to diagnose Pars planitis ?
Q04235,What are the treatments for Pars planitis ?
Q04236,What are the symptoms of Lipidosis with triglycerid storage disease ?
Q04237,What is (are) Duane syndrome type 3 ?
Q04238,What are the symptoms of Duane syndrome type 3 ?
Q04239,What is (are) Spinocerebellar ataxia 13 ?
Q04240,What are the symptoms of Spinocerebellar ataxia 13 ?
Q04241,What is (are) Nocardiosis ?
Q04242,What are the symptoms of Macrocephaly-capillary malformation ?
Q04243,What are the symptoms of Mandibuloacral dysplasia ?
Q04244,What are the symptoms of Peptidic growth factors deficiency ?
Q04245,What are the symptoms of Wilson-Turner syndrome ?
Q04246,What is (are) Hairy tongue ?
Q04247,What causes Hairy tongue ?
Q04248,What are the treatments for Hairy tongue ?
Q04249,What is (are) Osteopetrosis autosomal recessive 3 ?
Q04250,What are the symptoms of Osteopetrosis autosomal recessive 3 ?
Q04251,"What are the symptoms of Familial erythrocytosis, 1 ?"
Q04252,What is (are) Essential tremor ?
Q04253,What are the symptoms of Essential tremor ?
Q04254,What causes Essential tremor ?
Q04255,Is Essential tremor inherited ?
Q04256,What are the treatments for Essential tremor ?
Q04257,What is (are) Popliteal pterygium syndrome ?
Q04258,What are the symptoms of Popliteal pterygium syndrome ?
Q04259,What is (are) Limb-girdle muscular dystrophy ?
Q04260,Is Limb-girdle muscular dystrophy inherited ?
Q04261,What are the treatments for Limb-girdle muscular dystrophy ?
Q04262,What is (are) Intellectual disability-developmental delay-contractures syndrome ?
Q04263,What are the symptoms of Intellectual disability-developmental delay-contractures syndrome ?
Q04264,Is Intellectual disability-developmental delay-contractures syndrome inherited ?
Q04265,What is (are) Carbamoyl phosphate synthetase 1 deficiency ?
Q04266,What are the symptoms of Carbamoyl phosphate synthetase 1 deficiency ?
Q04267,What is (are) Hereditary diffuse leukoencephalopathy with spheroids ?
Q04268,What are the symptoms of Hereditary diffuse leukoencephalopathy with spheroids ?
Q04269,What causes Hereditary diffuse leukoencephalopathy with spheroids ?
Q04270,Is Hereditary diffuse leukoencephalopathy with spheroids inherited ?
Q04271,"What are the symptoms of Pituitary hormone deficiency, combined 3 ?"
Q04272,"What are the symptoms of Pituitary hormone deficiency, combined 4 ?"
Q04273,What are the symptoms of Spastic paraplegia 2 ?
Q04274,"What are the symptoms of Premature ovarian failure, familial ?"
Q04275,What is (are) Mikulicz disease ?
Q04276,"What are the symptoms of Epidermolysis bullosa simplex, Dowling-Meara type ?"
Q04277,What are the symptoms of Spinal muscular atrophy type 1 with congenital bone fractures ?
Q04278,What are the symptoms of Syngnathia multiple anomalies ?
Q04279,What is (are) Squamous cell carcinoma of the head and neck ?
Q04280,What are the symptoms of White sponge nevus of cannon ?
Q04281,What are the symptoms of De Sanctis-Cacchione syndrome ?
Q04282,What are the symptoms of Carpotarsal osteochondromatosis ?
Q04283,What are the symptoms of Achromatopsia 3 ?
Q04284,What is (are) Danon disease ?
Q04285,What are the symptoms of Danon disease ?
Q04286,What causes Danon disease ?
Q04287,Is Danon disease inherited ?
Q04288,How to diagnose Danon disease ?
Q04289,What are the treatments for Danon disease ?
Q04290,What are the symptoms of Lissencephaly 1 ?
Q04291,What are the symptoms of Glaucoma sleep apnea ?
Q04292,What are the symptoms of Corneal dystrophy crystalline of Schnyder ?
Q04293,"What are the symptoms of Dwarfism, low-birth-weight type with unresponsiveness to growth hormone ?"
Q04294,What are the symptoms of Spastic paraplegia 26 ?
Q04295,What are the symptoms of Hyperinsulinemic hypoglycemia familial 2 ?
Q04296,What is (are) Chester porphyria ?
Q04297,What are the symptoms of Intellectual deficit - short stature - hypertelorism ?
Q04298,What are the symptoms of Amyotrophic lateral sclerosis-parkinsonism/dementia complex 1 ?
Q04299,What are the symptoms of Osteogenesis imperfecta type V ?
Q04300,What are the symptoms of Myopathy congenital ?
Q04301,What is (are) West syndrome ?
Q04302,What are the symptoms of West syndrome ?
Q04303,What are the symptoms of Cardiocranial syndrome ?
Q04304,What are the symptoms of Krabbe disease atypical due to Saposin A deficiency ?
Q04305,What are the symptoms of Hooft disease ?
Q04306,What are the symptoms of ACTH-independent macronodular adrenal hyperplasia ?
Q04307,What are the symptoms of Cutaneous mastocytoma ?
Q04308,What is (are) Gamma heavy chain disease ?
Q04309,What are the symptoms of Gamma heavy chain disease ?
Q04310,What causes Gamma heavy chain disease ?
Q04311,What are the treatments for Gamma heavy chain disease ?
Q04312,What are the symptoms of Tukel syndrome ?
Q04313,What is (are) Senior Loken Syndrome ?
Q04314,What are the symptoms of Senior Loken Syndrome ?
Q04315,What is (are) Sarcoidosis ?
Q04316,What are the symptoms of Sarcoidosis ?
Q04317,What causes Sarcoidosis ?
Q04318,What are the treatments for Sarcoidosis ?
Q04319,What is (are) Polycystic ovarian syndrome ?
Q04320,What are the symptoms of Polycystic ovarian syndrome ?
Q04321,What are the symptoms of Metaphyseal dysplasia maxillary hypoplasia brachydactyly ?
Q04322,What is (are) Factor V deficiency ?
Q04323,What are the symptoms of Factor V deficiency ?
Q04324,What causes Factor V deficiency ?
Q04325,What are the treatments for Factor V deficiency ?
Q04326,What are the symptoms of Growth hormone insensitivity with immunodeficiency ?
Q04327,What are the symptoms of Desmosterolosis ?
Q04328,What is (are) Binswanger's disease ?
Q04329,What are the symptoms of Binswanger's disease ?
Q04330,What causes Binswanger's disease ?
Q04331,Is Binswanger's disease inherited ?
Q04332,How to diagnose Binswanger's disease ?
Q04333,What are the treatments for Binswanger's disease ?
Q04334,What is (are) Gamma aminobutyric acid transaminase deficiency ?
Q04335,What are the symptoms of Choroidal dystrophy central areolar ?
Q04336,What are the symptoms of Xeroderma pigmentosum type 7 ?
Q04337,What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type A ?
Q04338,What is (are) Familial hemiplegic migraine type 3 ?
Q04339,What are the symptoms of Familial hemiplegic migraine type 3 ?
Q04340,What is (are) Giant axonal neuropathy ?
Q04341,What are the symptoms of Giant axonal neuropathy ?
Q04342,What are the symptoms of Cobb syndrome ?
Q04343,What is (are) Progressive familial intrahepatic cholestasis type 2 ?
Q04344,What are the symptoms of Progressive familial intrahepatic cholestasis type 2 ?
Q04345,What are the symptoms of Spinocerebellar ataxia 10 ?
Q04346,What are the symptoms of Spinal muscular atrophy Ryukyuan type ?
Q04347,What are the symptoms of Cleidorhizomelic syndrome ?
Q04348,What are the symptoms of Isolated anterior cervical hypertrichosis ?
Q04349,What are the symptoms of Pheochromocytoma-islet cell tumor syndrome ?
Q04350,What is (are) Heparin-induced thrombocytopenia ?
Q04351,What is (are) Fibrodysplasia ossificans progressiva ?
Q04352,What are the symptoms of Fibrodysplasia ossificans progressiva ?
Q04353,Is Fibrodysplasia ossificans progressiva inherited ?
Q04354,What are the treatments for Fibrodysplasia ossificans progressiva ?
Q04355,What is (are) Hanhart syndrome ?
Q04356,What are the symptoms of Hanhart syndrome ?
Q04357,What causes Hanhart syndrome ?
Q04358,How to diagnose Hanhart syndrome ?
Q04359,What are the treatments for Hanhart syndrome ?
Q04360,What are the symptoms of Renal dysplasia-limb defects syndrome ?
Q04361,What is (are) Cri du chat syndrome ?
Q04362,What are the symptoms of Cri du chat syndrome ?
Q04363,What causes Cri du chat syndrome ?
Q04364,Is Cri du chat syndrome inherited ?
Q04365,What are the treatments for Cri du chat syndrome ?
Q04366,What are the symptoms of Ichthyosis follicularis atrichia photophobia syndrome ?
Q04367,What are the symptoms of Brachydactyly type A6 ?
Q04368,What are the symptoms of Familial hyperthyroidism due to mutations in TSH receptor ?
Q04369,What are the symptoms of Akesson syndrome ?
Q04370,What are the symptoms of Spondyloepimetaphyseal dysplasia joint laxity ?
Q04371,What are the symptoms of 8q12 microduplication syndrome ?
Q04372,What is (are) Precocious puberty ?
Q04373,What are the symptoms of Precocious puberty ?
Q04374,What are the treatments for Precocious puberty ?
Q04375,What are the symptoms of Red cell phospholipid defect with hemolysis ?
Q04376,What are the symptoms of Florid papillomatosis of the nipple ?
Q04377,What are the symptoms of Aphalangia partial with syndactyly and duplication of metatarsal IV ?
Q04378,What is (are) Creutzfeldt-Jakob disease ?
Q04379,What are the symptoms of Creutzfeldt-Jakob disease ?
Q04380,What causes Creutzfeldt-Jakob disease ?
Q04381,How to diagnose Creutzfeldt-Jakob disease ?
Q04382,What are the treatments for Creutzfeldt-Jakob disease ?
Q04383,What is (are) Inflammatory linear verrucous epidermal nevus ?
Q04384,What is (are) Autoimmune hepatitis ?
Q04385,What are the symptoms of Autoimmune hepatitis ?
Q04386,What causes Autoimmune hepatitis ?
Q04387,How to diagnose Autoimmune hepatitis ?
Q04388,What are the treatments for Autoimmune hepatitis ?
Q04389,What is (are) Epidermolysis bullosa acquisita ?
Q04390,What are the symptoms of Epidermolysis bullosa acquisita ?
Q04391,What causes Epidermolysis bullosa acquisita ?
Q04392,Is Epidermolysis bullosa acquisita inherited ?
Q04393,What are the treatments for Epidermolysis bullosa acquisita ?
Q04394,"What are the symptoms of Severe combined immunodeficiency, atypical ?"
Q04395,What are the symptoms of Ichthyosis and male hypogonadism ?
Q04396,What is (are) Dominant optic atrophy ?
Q04397,Is Dominant optic atrophy inherited ?
Q04398,What are the treatments for Dominant optic atrophy ?
Q04399,What are the symptoms of Chromosome 17q deletion ?
Q04400,What is (are) Hailey-Hailey disease ?
Q04401,What are the symptoms of Hailey-Hailey disease ?
Q04402,Is Hailey-Hailey disease inherited ?
Q04403,How to diagnose Hailey-Hailey disease ?
Q04404,What are the treatments for Hailey-Hailey disease ?
Q04405,What are the symptoms of Dermatoosteolysis Kirghizian type ?
Q04406,What are the symptoms of Isolated growth hormone deficiency type 3 ?
Q04407,What is (are) Esthesioneuroblastoma ?
Q04408,What are the symptoms of Esthesioneuroblastoma ?
Q04409,What causes Esthesioneuroblastoma ?
Q04410,How to diagnose Esthesioneuroblastoma ?
Q04411,What are the treatments for Esthesioneuroblastoma ?
Q04412,What is (are) Polyembryoma ?
Q04413,What are the treatments for Polyembryoma ?
Q04414,What is (are) Lattice corneal dystrophy type 3A ?
Q04415,What are the symptoms of Lattice corneal dystrophy type 3A ?
Q04416,What are the symptoms of Neuhauser Eichner Opitz syndrome ?
Q04417,What are the symptoms of Oto-palato-digital syndrome type 1 ?
Q04418,What is (are) Liposarcoma ?
Q04419,What are the treatments for Liposarcoma ?
Q04420,What is (are) Monoclonal mast cell activation syndrome ?
Q04421,What are the symptoms of Torg Winchester syndrome ?
Q04422,What is (are) Megalocytic interstitial nephritis ?
Q04423,What are the symptoms of Megalocytic interstitial nephritis ?
Q04424,What causes Megalocytic interstitial nephritis ?
Q04425,What is (are) Familial hemiplegic migraine type 1 ?
Q04426,What are the symptoms of Familial hemiplegic migraine type 1 ?
Q04427,What are the treatments for Familial hemiplegic migraine type 1 ?
Q04428,What are the symptoms of Corneal dystrophy and perceptive deafness ?
Q04429,What is (are) Dwarfism ?
Q04430,How to diagnose Dwarfism ?
Q04431,What are the symptoms of Spastic paraplegia 4 ?
Q04432,What is (are) Selective IgM deficiency ?
Q04433,What are the symptoms of Congenital disorder of glycosylation type I/IIX ?
Q04434,"What is (are) Emery-Dreifuss muscular dystrophy, X-linked ?"
Q04435,"What are the symptoms of Emery-Dreifuss muscular dystrophy, X-linked ?"
Q04436,What is (are) Marfan syndrome ?
Q04437,What are the symptoms of Marfan syndrome ?
Q04438,Is Marfan syndrome inherited ?
Q04439,"What is (are) Refsum disease, infantile form ?"
Q04440,"What are the symptoms of Refsum disease, infantile form ?"
Q04441,What is (are) Autoimmune pancreatitis ?
Q04442,What are the symptoms of Brachycephalofrontonasal dysplasia ?
Q04443,What is (are) Camptocormism ?
Q04444,What are the symptoms of Bjornstad syndrome ?
Q04445,What is (are) C syndrome ?
Q04446,What are the symptoms of C syndrome ?
Q04447,What are the symptoms of Keratoderma palmoplantar spastic paralysis ?
Q04448,What are the symptoms of Weissenbacher-Zweymuller syndrome ?
Q04449,What is (are) Juvenile-onset dystonia ?
Q04450,What are the symptoms of Juvenile-onset dystonia ?
Q04451,What is (are) Familial hemiplegic migraine ?
Q04452,What are the symptoms of Familial hemiplegic migraine ?
Q04453,What are the symptoms of Congenital generalized lipodystrophy type 2 ?
Q04454,What is (are) Huntington disease ?
Q04455,What are the symptoms of Huntington disease ?
Q04456,What causes Huntington disease ?
Q04457,Is Huntington disease inherited ?
Q04458,How to diagnose Huntington disease ?
Q04459,What are the treatments for Huntington disease ?
Q04460,"What are the symptoms of 49,XXXXX syndrome ?"
Q04461,What is (are) Down syndrome ?
Q04462,What are the symptoms of Down syndrome ?
Q04463,What causes Down syndrome ?
Q04464,How to diagnose Down syndrome ?
Q04465,What are the treatments for Down syndrome ?
Q04466,What is (are) Hypoplastic right heart syndrome ?
Q04467,"What are the symptoms of Keratosis, seborrheic ?"
Q04468,What are the symptoms of Trichothiodystrophy nonphotosensitive ?
Q04469,What is (are) Brittle cornea syndrome ?
Q04470,What are the symptoms of Brittle cornea syndrome ?
Q04471,What are the symptoms of Megalocornea-intellectual disability syndrome ?
Q04472,What are the symptoms of Ichthyosis alopecia eclabion ectropion mental retardation ?
Q04473,What are the symptoms of Facial ectodermal dysplasia ?
Q04474,"What is (are) Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?"
Q04475,"What are the symptoms of Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?"
Q04476,"Is Hereditary endotheliopathy, retinopathy, nephropathy, and stroke inherited ?"
Q04477,"What are the treatments for Hereditary endotheliopathy, retinopathy, nephropathy, and stroke ?"
Q04478,What is (are) MYH7-related scapuloperoneal myopathy ?
Q04479,What are the symptoms of MYH7-related scapuloperoneal myopathy ?
Q04480,What causes MYH7-related scapuloperoneal myopathy ?
Q04481,What are the treatments for MYH7-related scapuloperoneal myopathy ?
Q04482,What is (are) Jones syndrome ?
Q04483,What are the symptoms of Jones syndrome ?
Q04484,What causes Jones syndrome ?
Q04485,Is Jones syndrome inherited ?
Q04486,What are the treatments for Jones syndrome ?
Q04487,What are the symptoms of ABCD syndrome ?
Q04488,What is (are) Congenital adrenal hyperplasia ?
Q04489,What are the symptoms of Congenital adrenal hyperplasia ?
Q04490,What causes Congenital adrenal hyperplasia ?
Q04491,Is Congenital adrenal hyperplasia inherited ?
Q04492,How to diagnose Congenital adrenal hyperplasia ?
Q04493,What are the treatments for Congenital adrenal hyperplasia ?
Q04494,What is (are) Myelodysplastic/myeloproliferative disease ?
Q04495,What causes Myelodysplastic/myeloproliferative disease ?
Q04496,What are the symptoms of Pachygyria with mental retardation and seizures ?
Q04497,What are the symptoms of Congenital dyserythropoietic anemia type 3 ?
Q04498,What is (are) Dextrocardia ?
Q04499,What are the symptoms of Hemolytic anemia lethal congenital nonspherocytic with genital and other abnormalities ?
Q04500,What are the symptoms of Immune defect due to absence of thymus ?
Q04501,What is (are) Polymyositis ?
Q04502,What are the symptoms of Polymyositis ?
Q04503,How to diagnose Polymyositis ?
Q04504,What are the treatments for Polymyositis ?
Q04505,"What is (are) Erythema nodosum, idiopathic ?"
Q04506,What is (are) BOD syndrome ?
Q04507,What are the symptoms of BOD syndrome ?
Q04508,What are the symptoms of Spastic paraplegia 39 ?
Q04509,What are the symptoms of Midphalangeal hair ?
Q04510,What is (are) Osteomesopyknosis ?
Q04511,What are the symptoms of Osteomesopyknosis ?
Q04512,Is Osteomesopyknosis inherited ?
Q04513,What is (are) Lymphomatoid papulosis ?
Q04514,What are the symptoms of Lymphomatoid papulosis ?
Q04515,What causes Lymphomatoid papulosis ?
Q04516,What are the treatments for Lymphomatoid papulosis ?
Q04517,What are the symptoms of Bowen syndrome ?
Q04518,What is (are) Factor XI deficiency ?
Q04519,What are the symptoms of Factor XI deficiency ?
Q04520,What is (are) Rh deficiency syndrome ?
Q04521,What are the symptoms of Cataract Hutterite type ?
Q04522,What are the symptoms of Acromegaloid facial appearance syndrome ?
Q04523,What is (are) Lymphocytic colitis ?
Q04524,What are the symptoms of Supraumbilical midabdominal raphe and facial cavernous hemangiomas ?
Q04525,What are the symptoms of Ghosal hematodiaphyseal dysplasia syndrome ?
Q04526,What are the symptoms of Rhizomelic chondrodysplasia punctata type 3 ?
Q04527,What are the symptoms of Congenital ectodermal dysplasia with hearing loss ?
Q04528,What is (are) Amelogenesis imperfecta ?
Q04529,What are the symptoms of Amelogenesis imperfecta ?
Q04530,What causes Amelogenesis imperfecta ?
Q04531,Is Amelogenesis imperfecta inherited ?
Q04532,How to diagnose Amelogenesis imperfecta ?
Q04533,What are the treatments for Amelogenesis imperfecta ?
Q04534,What is (are) TEMPI syndrome ?
Q04535,What are the symptoms of Oculo skeletal renal syndrome ?
Q04536,What are the symptoms of Persistence of mullerian derivatives with lymphangiectasia and postaxial polydactyly ?
Q04537,What are the symptoms of Infundibulopelvic dysgenesis ?
Q04538,What is (are) Jejunal atresia ?
Q04539,What are the symptoms of Jejunal atresia ?
Q04540,What causes Jejunal atresia ?
Q04541,Is Jejunal atresia inherited ?
Q04542,How to diagnose Jejunal atresia ?
Q04543,What are the treatments for Jejunal atresia ?
Q04544,What is (are) Livedoid vasculopathy ?
Q04545,What are the treatments for Livedoid vasculopathy ?
Q04546,What are the symptoms of Caudal appendage deafness ?
Q04547,What is (are) MTHFR gene mutation ?
Q04548,What are the symptoms of MTHFR gene mutation ?
Q04549,Is MTHFR gene mutation inherited ?
Q04550,How to diagnose MTHFR gene mutation ?
Q04551,What are the treatments for MTHFR gene mutation ?
Q04552,What are the symptoms of Pelizaeus-Merzbacher-like disease ?
Q04553,What is (are) Myelofibrosis ?
Q04554,What are the symptoms of Myelofibrosis ?
Q04555,What are the symptoms of Duodenal atresia ?
Q04556,What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type C ?
Q04557,What is (are) Achondrogenesis ?
Q04558,What are the symptoms of Achondrogenesis ?
Q04559,What causes Achondrogenesis ?
Q04560,Is Achondrogenesis inherited ?
Q04561,How to diagnose Achondrogenesis ?
Q04562,What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?
Q04563,What is (are) Inclusion body myositis ?
Q04564,What are the symptoms of Inclusion body myositis ?
Q04565,What is (are) Renal nutcracker syndrome ?
Q04566,What are the symptoms of Renal nutcracker syndrome ?
Q04567,Is Renal nutcracker syndrome inherited ?
Q04568,How to diagnose Renal nutcracker syndrome ?
Q04569,What are the treatments for Renal nutcracker syndrome ?
Q04570,What are the symptoms of Charcot-Marie-Tooth disease type 4B2 ?
Q04571,What are the symptoms of Autosomal dominant intermediate Charcot-Marie-Tooth disease type B ?
Q04572,What is (are) Wyburn Mason's syndrome ?
Q04573,What are the symptoms of Wyburn Mason's syndrome ?
Q04574,What are the symptoms of Marie Unna congenital hypotrichosis ?
Q04575,What is (are) Harlequin ichthyosis ?
Q04576,What are the symptoms of Harlequin ichthyosis ?
Q04577,What causes Harlequin ichthyosis ?
Q04578,Is Harlequin ichthyosis inherited ?
Q04579,How to diagnose Harlequin ichthyosis ?
Q04580,What are the symptoms of Autosomal dominant deafness-onychodystrophy syndrome ?
Q04581,What is (are) Naegeli syndrome ?
Q04582,What are the symptoms of Naegeli syndrome ?
Q04583,How to diagnose Naegeli syndrome ?
Q04584,What are the treatments for Naegeli syndrome ?
Q04585,What is (are) Hemoglobin E disease ?
Q04586,What are the symptoms of Hemoglobin E disease ?
Q04587,How to diagnose Hemoglobin E disease ?
Q04588,What are the treatments for Hemoglobin E disease ?
Q04589,What are the symptoms of Cortisone reductase deficiency ?
Q04590,"What are the symptoms of Cataract, posterior polar, 1 ?"
Q04591,What is (are) Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids ?
Q04592,What are the treatments for Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids ?
Q04593,What is (are) Lymphocytic vasculitis ?
Q04594,What are the symptoms of Lymphocytic vasculitis ?
Q04595,What causes Lymphocytic vasculitis ?
Q04596,"What are the symptoms of Angiomatosis, diffuse corticomeningeal, of Divry and Van Bogaert ?"
Q04597,What are the symptoms of Lateral meningocele syndrome ?
Q04598,What are the symptoms of Gamma-cystathionase deficiency ?
Q04599,What is (are) Behcet's disease ?
Q04600,What are the symptoms of Behcet's disease ?
Q04601,What causes Behcet's disease ?
Q04602,What are the treatments for Behcet's disease ?
Q04603,What are the symptoms of Dyskeratosis congenita autosomal recessive ?
Q04604,What is (are) Ankylosing spondylitis ?
Q04605,What are the symptoms of Ankylosing spondylitis ?
Q04606,Is Ankylosing spondylitis inherited ?
Q04607,What are the treatments for Ankylosing spondylitis ?
Q04608,What is (are) Multiple familial trichoepithelioma ?
Q04609,What are the symptoms of Multiple familial trichoepithelioma ?
Q04610,What causes Multiple familial trichoepithelioma ?
Q04611,Is Multiple familial trichoepithelioma inherited ?
Q04612,How to diagnose Multiple familial trichoepithelioma ?
Q04613,What are the treatments for Multiple familial trichoepithelioma ?
Q04614,What are the symptoms of Kaplan Plauchu Fitch syndrome ?
Q04615,What is (are) Lenz microphthalmia syndrome ?
Q04616,What are the symptoms of Lenz microphthalmia syndrome ?
Q04617,What is (are) Microcephalic osteodysplastic primordial dwarfism type 1 ?
Q04618,What are the symptoms of Microcephalic osteodysplastic primordial dwarfism type 1 ?
Q04619,What causes Microcephalic osteodysplastic primordial dwarfism type 1 ?
Q04620,Is Microcephalic osteodysplastic primordial dwarfism type 1 inherited ?
Q04621,What are the treatments for Microcephalic osteodysplastic primordial dwarfism type 1 ?
