disease_id:ID(Disease),name
D01414,asthma
D01415,asthma - ataxia - autosomal recessive inheritance - biliary tract abnormality - brachydactyly syndrome
D01416,asthma attacks
D01417,asthma symptoms
D01418,astigmatism
D01419,astigmatism - autosomal dominant inheritance - heterogeneous - keratoconus - young
D01420,astocytoma - tumors
D01421,astrocytic tumors
D01422,astrocytoma
D01423,astrocytoma - attention deficit hyperactivity disorder
D01424,astrocytoma - autosomal dominant inheritance - axillary freckling - hypertelorism - inguinal freckling - intellectual disability
D01425,astrocytoma - autosomal dominant inheritance - cutaneous melanoma - the human phenotype ontology (hpo
D01426,astrocytomas
D01427,astrovirus
D01428,asymmetric muscle weakness
D01429,asymmetric septal hypertrophy - autosomal recessive inheritance - cellular metachromasia - coarse facial features - dense calvaria - diarrhea - dolichocephaly - dysostosis multiplex - dysphagia - growth abnormality
D01430,ataxia
D01431,ataxia - autosomal dominant inheritance
D01432,ataxia - autosomal dominant inheritance - autosomal recessive inheritance
D01433,ataxia - autosomal dominant inheritance - autosomal recessive inheritance - babinski
D01434,ataxia - autosomal dominant inheritance - autosomal recessive inheritance - cerebellar atrophy
D01435,ataxia - autosomal dominant inheritance - basal ganglia calcification
D01436,ataxia - autosomal dominant inheritance - cerebellar atrophy
D01437,ataxia - autosomal dominant inheritance - cerebral atrophy
D01438,ataxia - autosomal dominant inheritance - diabetes mellitus - rod-cone dystrophy
D01439,ataxia - autosomal recessive inheritance
D01440,ataxia - autosomal recessive inheritance - babinski
D01441,ataxia - autosomal recessive inheritance - babinski sign - bulbar palsy - cholecystitis - chorea - delusions - dysarthria - dystonia - emg: neuropathic changes - emotional lability - gallbladder dysfunction - hallucinations - hyporeflexia - increased csf protein - intellectual disability - loss of speech - mental deterioration - peripheral demyelination
D01442,ataxia - autosomal recessive inheritance - babinski sign - cerebellar atrophy
D01443,ataxia - autosomal recessive inheritance - babinski sign - cerebral atrophy
D01444,ataxia - autosomal recessive inheritance - babinski sign - hyperreflexia - hyporeflexia - leukoencephalopathy - motor delay - muscle weakness
D01445,ataxia - autosomal recessive inheritance - band keratopathy - cerebellar atrophy
D01446,ataxia - autosomal recessive inheritance - basal ganglia gliosis - cerebellar hypoplasia - congenital contracture
D01447,ataxia - autosomal recessive inheritance - blindness - cerebellar atrophy
D01448,ataxia - autosomal recessive inheritance - blindness - cochlear degeneration - hearing impairment
D01449,ataxia - autosomal recessive inheritance - cerebellar atrophy
D01450,ataxia - autosomal recessive inheritance - cerebellar hypoplasia - tremor - the human phenotype ontology (hpo
D01451,ataxia - autosomal recessive inheritance - cerebellar vermis hypoplasia - coloboma - growth delay - hepatic fibrosis
D01452,ataxia - autosomal recessive inheritance - cerebral atrophy
D01453,ataxia - autosomal recessive inheritance - cerebral edema
D01454,ataxia - autosomal recessive inheritance - chronic metabolic acidosis
D01455,ataxia - autosomal recessive inheritance - cns demyelination
D01456,ataxia - autosomal recessive inheritance - delayed speech and language development - hyperreflexia - hypertonia - infantile muscular hypotonia - intellectual disability
D01457,ataxia - autosomal recessive inheritance - dysarthria - hepatosplenomegaly - the human phenotype ontology (hpo
D01458,ataxia - autosomal recessive inheritance - dystonia - encephalopathy - feeding difficulties - hypertrophic cardiomyopathy - lactic acidosis
D01459,ataxia - autosomal recessive inheritance - intellectual disability
D01460,ataxia - blepharophimosis - delayed eruption
D01461,ataxia - blindness - blotching pigmentation of the skin - dehydration
D01462,ataxia - blindness - corticospinal tract atrophy
D01463,ataxia - dysarthria - intellectual disability - muscle weakness
D01464,ataxia - gaze-evoked nystagmus
D01465,ataxia - hypergonadotropic hypogonadism
D01466,ataxia - hypogonadism - choroidal dystrophy
D01467,ataxia neuropathy
D01468,ataxia neuropathy spectrum also have severe brain dysfunction
D01469,ataxia neuropathy spectrum and kearns-sayre syndrome
D01470,ataxia syndrome
D01471,ataxia telangiectasia
D01472,ataxia-oculomotor apraxia 3 - genetic testing registry
D01473,ataxia-oculomotor apraxia 4 - genetic testing registry
D01474,ataxia-telangiectasia
D01475,ataxia-telangiectasia syndrome
D01476,ataxias
D01477,ataxias - failure of muscle
D01478,ataxic dysarthria
D01479,ataxic neuropathy
D01480,atelectasis
D01481,atelectasis - autosomal recessive inheritance - cor pulmonale
D01482,ateleiotic dwarfism
D01483,atelosteogenesis
D01484,atelosteogenesis type
D01485,atelosteogenesis type 1
D01486,atelosteogenesis type 1 change single protein building blocks (amino acids
D01487,atelosteogenesis type 1 is a disorder
D01488,atelosteogenesis type 1 these resources from
D01489,atelosteogenesis type 1 typically
D01490,atelosteogenesis type 1. if the information
D01491,atelosteogenesis type 1? the human
D01492,atelosteogenesis type 2
D01493,atelosteogenesis type 2 - genetic testing registry
D01494,atelosteogenesis type 2 are similar to those of another skeletal disorder
D01495,atelosteogenesis type 2 is typically more
D01496,atelosteogenesis type 2 these resources from
D01497,atelosteogenesis type 2: - gene review: gene review
D01498,atelosteogenesis type 3
D01499,atelosteogenesis type 3 change single protein building blocks (amino acids
D01500,atelosteogenesis type 3 is a disorder
D01501,atelosteogenesis type 3 these resources from
D01502,atelosteogenesis type 3 typically
D01503,atelosteogenesis type 3 who survive past the newborn period may have learning disabilities
D01504,atheromatosis
D01505,atherosclerosis
D01506,atherosclerosis-related
D01507,atherosclerosis-related disease
D01508,atherosclerotic
D01509,atherosclerotic peripheral arterial disease claudication
D01510,athetoid cerebral palsy
D01511,athetosis
D01512,athetosis - autosomal dominant inheritance - basal ganglia calcification
D01513,athetosis - autosomal recessive inheritance - bone-marrow foam cells - constipation - diffuse reticular or finely nodular infiltrations - failure to thrive - feeding difficulties
D01514,athetosis - autosomal recessive inheritance - brachycephaly - congenital hip dislocation
D01515,atlantoaxial dislocation - autosomal dominant inheritance
D01516,atlantoaxial instability - autosomal recessive inheritance - barrel-shaped chest - beaking of vertebral bodies - deformed sella turcica - delayed femoral head ossification - disproportionate short-trunk short stature - dolichocephaly - genu valgum - genu varum - hypoplasia of the odontoid process - hypoplastic acetabulae - hypoplastic facial bones - hypoplastic scapulae - irregular epiphyses - kyphosis - metaphyseal irregularity - microcephaly - multicentric femoral head ossification - platyspondyly - prominent sternum - scoliosis - short metacarpal - short phalanx of finger - waddling gait - the human phenotype ontology (hpo
D01517,atm
D01518,atomic bomb
D01519,atomic bomb blast
D01520,atomic bomb explosion
D01521,atomic bomb radiation
D01522,atonic
D01523,atopic
D01524,atopic dermatitis
D01525,atopic dermatitis - autosomal recessive inheritance - cerebral vasculitis
D01526,atopic eczema
D01527,atopy
D01528,atp1a3
D01529,atp6v0a2
D01530,atr-x syndrome
D01531,atransferrinemia
D01532,atresia
D01533,atresia - anal stenosis
D01534,atresia - anencephaly - arnold-chiari malformation
D01535,atresia - autosomal dominant inheritance - autosomal recessive inheritance - bifid distal phalanx of the thumb - brachydactyly syndrome
D01536,atresia - autosomal recessive inheritance - bulbous nose - hemivertebrae - hydrocephalus - hydronephrosis - long ear - low posterior hairline - posteriorly rotated ears - rectovaginal fistula
D01537,atresia - autosomal recessive inheritance - delayed speech and language development - extrapyramidal dyskinesia
D01538,atresia - autosomal recessive inheritance - renal agenesis - ureteral agenesis - ureteral dysgenesis
D01539,atresia - choanal atresia - ectopic kidney - esophageal atresia - failure to thrive - hydronephrosis - hypoplasia of the radius - hypospadias
D01540,atresia choanae
D01541,atresia of the external auditory canal - atria septal defect - autosomal dominant inheritance - bifid uvula - blepharophimosis - broad-based gait - cerebellar hypoplasia - choanal stenosis
D01542,atresia of the external auditory canal - autosomal dominant inheritance - hypogonadotrophic hypogonadism - intellectual disability
D01543,atresia of the external auditory canal - autosomal recessive inheritance - bilateral talipes equinovarus
D01544,atresia of the external auditory canal 50
D01545,atresia of the external auditory canal 50% cleft eyelid
D01546,atresia of the external auditory canal 50% clinodactyly of the 5th finger 50% hydrocephalus
D01547,atresia of the external auditory canal 50% cognitive impairment
D01548,atresia of the external auditory canal 50% conductive hearing impairment
D01549,atresia of the external auditory canal 50% epicanthus 50% large earlobe 50% overfolded helix 50% preaxial hand polydactyly
D01550,atresia of the external auditory canal 7.5
D01551,atresia of the external auditory canal 7.5% buphthalmos 7.5% carious teeth
D01552,atresia of the external auditory canal 7.5% external ear malformation
D01553,atresia of the external auditory canal 7.5% facial asymmetry 7.5% renal hypoplasia/aplasia
D01554,atresia of the external auditory canal 7.5% hernia of the abdominal wall 7.5% preauricular skin tag 7.5
D01555,atresia of the external auditory canal 7.5% patent ductus arteriosus
D01556,atresia of the external auditory canal 90
D01557,atresia of the external auditory canal 90% blepharophimosis
D01558,atresia of the external auditory canal 90% cognitive impairment
D01559,atresia of the external auditory canal 90% conductive hearing impairment
D01560,atresia of the external auditory canal 90% hypertelorism
D01561,"atresia of the external auditory canal 90% low-set, posteriorly rotated ears 90"
D01562,atrial and intestinal dysrhythmia
D01563,atrial fibrillation
D01564,atrial fibrillation - paroxysmal supraventricular tachycardia
D01565,atrial fibrillation/flutter
D01566,atrial flutter
D01567,atrial flutter - autosomal recessive inheritance - broad nasal tip - delayed speech and language development - depressed nasal bridge - epicanthus - high forehead - hydrocele testis - lymphedema - oligohydramnios - omphalocele - overriding aorta - patent ductus arteriosus
D01568,atrial flutter 4/11 autosomal dominant inheritance - cerebral atrophy
D01569,atrial myxoma
D01570,atrial septal aneurysm - autosomal dominant inheritance - frontal bossing - hypertelorism - juvenile myelomonocytic leukemia - low-set ears - pulmonic stenosis
D01571,atrial septal defect
D01572,atrial septal defect - medlineplus encyclopedia: skeletal limb abnormalities - medlineplus encyclopedia: ventricular septal defect
D01573,atrial septal defect - short neck - specific learning disability
D01574,atrial septal defect ostium primum? the human phenotype ontology provides the following list of signs and symptoms for atrial septal defect ostium primum
D01575,atrial septal defects
D01576,atrioventricular block - autosomal recessive inheritance
D01577,atrioventricular block - frontal balding - hypogonadism - igg deficiency - igm deficiency
D01578,atrioventricular block - frontal balding - hypogonadism - intellectual disability
D01579,atrioventricular node disorder
D01580,atrioventricular septal defect
D01581,atrophia
D01582,atrophic gastritis
D01583,atrophies
D01584,atrophy
D01585,atrophy of alveolar ridges - autosomal recessive inheritance - choroid plexus calcification
D01586,atrophy of the dentate nucleus 90% fetal cystic hygroma
D01587,atrophy of the spinal cord - autosomal recessive inheritance - babinski
D01588,atrx syndrome
D01589,atrx) syndrome
D01590,attacks
D01591,attacks joints
D01592,attacks of sudden
D01593,attacks of vomiting
D01594,attention and memory loss
D01595,attention deficit disorder
D01596,attention deficit disorders
D01597,attention deficit hyperactivity disorder
D01598,attention deficit-hyperactivity disorder
D01599,attention deficit/hyperactivity disorder
D01600,attention or behavior
D01601,attention to nutritional deficiencies
D01602,"attention, learning"
D01603,"attention, learning, and remembering"
D01604,attention-deficit hyperactivity disorder
D01605,atypical hemolytic-uremic syndrome
D01606,atypical mucolipidosis type iv tend to
D01607,atypical nevus syndrome
D01608,atypical parkinsonism
D01609,atypical teratoid/rhabdoid tumor
D01610,aud
D01611,auditory dysfunction
D01612,auditory neuropathy
D01613,auditory/verbal processing disorder
D01614,aura
D01615,aura - photophobia - seizures - the human phenotype ontology (hpo
D01616,aura - psychosis - transient unilateral blurring of vision - visual hallucinations
D01617,aura - seizures
D01618,auras
D01619,auriculo-condylar syndrome
D01620,auriculocondylar syndrome
D01621,auriculocondylar syndrome 2 - medlineplus encyclopedia: cleft lip
D01622,autism
D01623,autism - autosomal dominant inheritance
D01624,autism - autosomal dominant inheritance - cafe-au-lait spot - cerebral calcification
D01625,autism - autosomal recessive inheritance - brachycephaly
D01626,autism - autosomal recessive inheritance - cerebral atrophy
D01627,autism - autosomal recessive inheritance - delayed speech and language development - eeg abnormality
D01628,autism spectrum disorder
D01629,autism spectrum disorders
D01630,autistic
D01631,autistic behavior
D01632,autistic behavior - cleft eyelid - feeding difficulties - hyperactivity - hypermetropia - intellectual disability
D01633,autistic behaviors
D01634,autistic disorder
D01635,autistic spectrum disorders
D01636,autistic-like behavior
D01637,autistic-like behaviors
D01638,auto-immune reaction
D01639,autoamputation
D01640,autoamputation of digits - acral ulceration
D01641,autoamputation of the digits (feet) - autosomal recessive inheritance - infantile onset - pain
D01642,autoimmune
D01643,autoimmune addison disease
D01644,autoimmune addisons disease
D01645,autoimmune arthritis
D01646,autoimmune atrophic gastritis
D01647,autoimmune attacks
D01648,autoimmune autonomic ganglionopathy
D01649,autoimmune autonomic neuropathy
D01650,autoimmune blood disorders
D01651,autoimmune conditiona disorder
D01652,autoimmune destruction
D01653,autoimmune diabetes
D01654,autoimmune disease
D01655,autoimmune disease rheumatoid arthritis
D01656,autoimmune disease sjgren's syndrome
D01657,autoimmune diseasea disorder
D01658,autoimmune diseases
D01659,autoimmune disorder
D01660,autoimmune disorders
D01661,autoimmune disorders sjgren's syndrome
D01662,autoimmune gastritis
D01663,autoimmune gastrointestinal dysmotility
D01664,autoimmune hemolytic anemia
D01665,autoimmune hemolytic anemia - autosomal recessive inheritance - episodic fever - hypoplasia of the iris - immunodeficiency - lymphadenopathy - muscular hypotonia - myopathy - recurrent bacterial infections
D01666,autoimmune hepatitis
D01667,autoimmune inflammation
D01668,autoimmune kidney disease
D01669,autoimmune leukoproliferative disorder
D01670,autoimmune lymphoproliferative syndrome
D01671,"autoimmune lymphoproliferative syndrome type 1, autosomal recessive - genetic testing registry: autoimmune lymphoproliferative syndrome"
D01672,autoimmune myocarditis
D01673,autoimmune neuromuscular disease
D01674,autoimmune neuropsychiatric disorders
D01675,autoimmune neutropenia
D01676,autoimmune or rheumatic (ru-mat-ik) disorders
D01677,autoimmune or rheumatic disorder
D01678,autoimmune or rheumatic disorders
D01679,autoimmune pancreatitis
D01680,autoimmune polyglandular syndrome
D01681,"autoimmune polyglandular syndrome type 1, autosomal dominant - genetic testing registry: autoimmune polyglandular syndrome type 1, with reversible metaphyseal dysplasia"
D01682,autoimmune polyglandular syndrome type 1? the human phenotype ontology provides the following list of signs and symptoms for autoimmune polyglandular syndrome type 1
D01683,autoimmune reaction
D01684,autoimmune skin disease
D01685,autoimmune thrombocytopenia
D01686,autoimmune thrombocytopenia - autosomal recessive inheritance - bronchiectasis - decreased t cell activation - diarrhea - dysgammaglobulinemia - epididymitis - gingivitis - hemolytic anemia - hepatitis - hepatomegaly - iga deficiency
D01687,autoimmune thyroid disease
D01688,autoimmune thyroiditis
D01689,autoimmunity
D01690,autoimmunity - iga deficiency
D01691,autoinflammatory disease
D01692,autoinflammatory diseases
D01693,autoinflammatory disorder
D01694,automobile accidents
D01695,autonomic abnormalities
D01696,autonomic dysfunction
D01697,autonomic failure
D01698,autonomic neuropathy
D01699,autonomic neuropathy type
D01700,autonomic neuropathy type ie
D01701,autonomic neuropathy type ii
D01702,autonomic neuropathy type iia - genetic testing
D01703,autonomic neuropathy type iib these resources from
D01704,autosomal dominant
D01705,autosomal dominant - genetic testing registry
D01706,autosomal dominant - medlineplus encyclopedia
D01707,autosomal dominant alport syndrome
D01708,autosomal dominant alzheimer disease
D01709,autosomal dominant caf au lait
D01710,autosomal dominant congenital stationary night blindness
D01711,autosomal dominant craniometaphyseal dysplasia
D01712,autosomal dominant craniometaphyseal dysplasia may decrease the ankh protein's ability to transport
D01713,autosomal dominant cvid
D01714,autosomal dominant deafness-onychodystrophy syndrome
D01715,autosomal dominant disorder
D01716,autosomal dominant disorders
D01717,autosomal dominant drd
D01718,autosomal dominant dystrophic epidermolysis bullosa
D01719,autosomal dominant eda-id
D01720,autosomal dominant emery-dreifuss muscular dystrophy
D01721,autosomal dominant familial
D01722,autosomal dominant hearing loss
D01723,autosomal dominant hereditary
D01724,autosomal dominant hereditary spastic paraplegia
D01725,autosomal dominant hies syndrome
D01726,autosomal dominant hpp
D01727,autosomal dominant hyper-ige syndrome
D01728,autosomal dominant hypocalcemia
D01729,autosomal dominant hypophosphatemic rickets
D01730,autosomal dominant inheritance
D01731,autosomal dominant inheritance - autosomal recessive inheritance
D01732,autosomal dominant inheritance - autosomal recessive inheritance - bicuspid aortic valve - chorioretinal coloboma
D01733,autosomal dominant inheritance - autosomal recessive inheritance - blindness - brachycephaly - brachydactyly syndrome
D01734,autosomal dominant inheritance - autosomal recessive inheritance - brittle hair - dry hair - hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes - hypoplasia of dental enamel - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01735,autosomal dominant inheritance - autosomal recessive inheritance - childhood onset - cholelithiasis - erythema - hemolytic anemia - hepatic failure - hypertriglyceridemia - pruritus - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01736,autosomal dominant inheritance - autosomal recessive inheritance - cns demyelination
D01737,autosomal dominant inheritance - autosomal recessive inheritance - concave nail - leukonychia - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01738,autosomal dominant inheritance - autosomal recessive inheritance - cone/cone-rod dystrophy - dyschromatopsia - nyctalopia - photophobia - progressive cone degeneration
D01739,autosomal dominant inheritance - autosomal recessive inheritance - congenital hip dislocation - fever - flexion contracture
D01740,autosomal dominant inheritance - autosomal recessive inheritance - congenital muscular dystrophy - facial palsy - failure to thrive - feeding difficulties
D01741,autosomal dominant inheritance - autosomal recessive inheritance - congenital onset - cystic renal dysplasia
D01742,autosomal dominant inheritance - autosomal recessive inheritance - congenital onset - menorrhagia - the human phenotype ontology (hpo
D01743,autosomal dominant inheritance - autosomal recessive inheritance - dentinogenesis imperfecta
D01744,autosomal dominant inheritance - autosomal recessive inheritance - distal amyotrophy
D01745,autosomal dominant inheritance - autosomal recessive inheritance - distal renal tubular acidosis
D01746,autosomal dominant inheritance - autosomal recessive inheritance - heterogeneous - hyperinsulinemic hypoglycemia - hypoglycemic coma - hypoglycemic seizures - intellectual disability
D01747,autosomal dominant inheritance - autosomal recessive inheritance - impaired collagen-induced platelet aggregation
D01748,autosomal dominant inheritance - autosomal recessive inheritance - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01749,autosomal dominant inheritance - avascular necrosis
D01750,autosomal dominant inheritance - axillary freckling - cafe-au-lait spot - cerebral hemorrhage
D01751,autosomal dominant inheritance - axillary freckling - cubitus valgus - delayed speech and language development - depressed nasal bridge - epicanthus - hypoplasia of midface - inguinal freckling - low posterior hairline - low-set ears - macrocephaly - malar flattening - muscle weakness
D01752,autosomal dominant inheritance - axonal degeneration
D01753,autosomal dominant inheritance - babinski
D01754,autosomal dominant inheritance - babinski sign - cerebellar atrophy
D01755,autosomal dominant inheritance - babinski sign - cerebellar atrophy - cns demyelination - dysarthria - dysmetria - gait ataxia - hyperreflexia - impaired vibration sensation
D01756,autosomal dominant inheritance - babinski sign - clonus - degeneration of the lateral corticospinal tracts - impaired vibration sensation
D01757,autosomal dominant inheritance - barrel-shaped chest - cervical myelopathy - coxa vara
D01758,autosomal dominant inheritance - barrel-shaped chest - childhood-onset short-trunk short stature - clinodactyly - hypermetropia - proximal femoral metaphyseal irregularity
D01759,autosomal dominant inheritance - basal cell carcinoma - benign gastrointestinal tract tumors - benign genitourinary tract neoplasm - breast carcinoma - colon cancer - colonic diverticula - duodenal adenocarcinoma - laryngeal carcinoma - malignant genitourinary tract tumor - sebaceous gland carcinoma - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01760,autosomal dominant inheritance - basal ganglia calcification - brachydactyly syndrome
D01761,autosomal dominant inheritance - behavioral abnormality
D01762,autosomal dominant inheritance - biconvex vertebral bodies - cone-shaped epiphyses of the phalanges of the hand - coronal cleft vertebrae - delayed ossification of carpal bones - dentinogenesis imperfecta - flared iliac wings - flat acetabular roof - genu recurvatum - genu varum - irregular epiphyses - long philtrum - mesomelia - metaphyseal cupping - metaphyseal widening - motor delay - narrow face - osteoporosis - pectus carinatum - prominent forehead - respiratory distress
D01763,autosomal dominant inheritance - bicuspid aortic valve - chronic constipation - enuresis - flat midface - glucose intolerance - intrauterine growth retardation - obsessive-compulsive trait - pelvic kidney - poor coordination - renal hypoplasia - the human phenotype ontology (hpo
D01764,autosomal dominant inheritance - bifid nasal tip - dislocated radial head - hypoplastic distal humeri - hypospadias
D01765,autosomal dominant inheritance - bifid uvula - brachydactyly syndrome
D01766,autosomal dominant inheritance - bilateral ptosis - vocal cord paralysis
D01767,autosomal dominant inheritance - bilateral sensorineural hearing impairment
D01768,autosomal dominant inheritance - biliary cirrhosis - calcinosis - elevated alkaline phosphatase - elevated hepatic transaminases - gastrointestinal hemorrhage
D01769,autosomal dominant inheritance - bimanual synkinesia - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01770,autosomal dominant inheritance - blindness - hemiparesis - hemiplegia - migraine
D01771,autosomal dominant inheritance - blue irides - cryptorchidism - cubitus valgus - curly hair - dental malocclusion - depressed nasal bridge - epicanthus - high anterior hairline - hypertelorism - hypertrophic cardiomyopathy
D01772,autosomal dominant inheritance - bone marrow hypocellularity - cortical thickening of long bone diaphyses - decreased subcutaneous fat - delayed puberty - diaphyseal sclerosis
D01773,autosomal dominant inheritance - bone pain
D01774,autosomal dominant inheritance - bowing of the long bones - brachycephaly - choanal atresia - choanal stenosis
D01775,autosomal dominant inheritance - brachycephaly - coxa valga - down-sloping shoulders - hirsutism - intellectual disability - long neck - pes cavus - skeletal dysplasia - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01776,autosomal dominant inheritance - brachycephaly - depressed nasal bridge - feeding difficulties - flat occiput - high palate - low-set ears - periorbital fullness - postaxial polydactyly
D01777,autosomal dominant inheritance - brachydactyly syndrome
D01778,autosomal dominant inheritance - brachytelomesophalangy - chordee - microtia - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01779,autosomal dominant inheritance - bradykinesia - dementia - dilated fourth ventricle - distal amyotrophy - dysarthria - dysdiadochokinesis - dysmetria - dysmetric saccades - dysphagia - fasciculations - gaze-evoked nystagmus
D01780,autosomal dominant inheritance - brain stem compression - flared metaphysis - generalized joint laxity - hypoplasia of midface - infantile muscular hypotonia
D01781,autosomal dominant inheritance - breast carcinoma
D01782,autosomal dominant inheritance - broad distal phalanx of finger - carpal bone hypoplasia - caudal interpedicular narrowing - congenital hip dislocation
D01783,autosomal dominant inheritance - broad forehead - broad nasal tip - congenital giant melanocytic nevus - cutaneous melanoma - deep philtrum - full cheeks - long philtrum - narrow nasal ridge - open mouth - periorbital fullness
D01784,autosomal dominant inheritance - broad forehead - broad nasal tip - distal/middle symphalangism of 5th finger - highly arched eyebrow - intellectual disability
D01785,autosomal dominant inheritance - broad palm - depressed nasal bridge - prominent forehead - wide nasal bridge - widow's peak - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01786,autosomal dominant inheritance - broad phalanx - short phalanx of finger - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01787,autosomal dominant inheritance - bronchial cartilage hypoplasia - respiratory distress
D01788,autosomal dominant inheritance - bronchiolitis obliterans
D01789,autosomal dominant inheritance - budd-chiari syndrome
D01790,autosomal dominant inheritance - bull's eye maculopathy
D01791,autosomal dominant inheritance - cafe-au-lait spot - cerebral hemorrhage
D01792,autosomal dominant inheritance - carious teeth - fragile nails - heat intolerance - hypohidrosis - premature loss of teeth - reticular hyperpigmentation
D01793,autosomal dominant inheritance - carpal synostosis - mesomelia - radial bowing - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01794,autosomal dominant inheritance - cataract - coloboma - joint laxity - microcornea - microphthalmia - muscular hypotonia - retinal dystrophy
D01795,autosomal dominant inheritance - cavernous hemangioma of the face - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01796,autosomal dominant inheritance - celiac disease
D01797,autosomal dominant inheritance - cementoma - misalignment of teeth - multiple impacted teeth - the human phenotype ontology (hpo
D01798,autosomal dominant inheritance - central scotoma - optic atrophy
D01799,autosomal dominant inheritance - cerebellar atrophy
D01800,autosomal dominant inheritance - cerebellar vermis atrophy
D01801,autosomal dominant inheritance - cerebral amyloid angiopathy
D01802,autosomal dominant inheritance - cerebral aneurysm
D01803,autosomal dominant inheritance - cerebral cortical atrophy
D01804,autosomal dominant inheritance - cerebral hemorrhage
D01805,autosomal dominant inheritance - cerebral venous thrombosis
D01806,autosomal dominant inheritance - cervical segmentation defect - hemivertebrae - neck muscle hypoplasia - rib segmentation abnormalities - scoliosis - shoulder muscle hypoplasia - spina bifida occulta - sporadic - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01807,autosomal dominant inheritance - chapped lip - dry hair - epidermoid cyst - follicular hyperkeratosis - furrowed tongue - gingivitis - heterogeneous - hoarse voice - nail dysplasia - nail dystrophy
D01808,autosomal dominant inheritance - cheilitis - squamous cell carcinoma - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01809,autosomal dominant inheritance - chin myoclonus
D01810,autosomal dominant inheritance - choanal stenosis
D01811,autosomal dominant inheritance - chorea - dyskinesia - dystonia - paroxysmal dyskinesia
D01812,autosomal dominant inheritance - choreoathetosis - genetic anticipation - the human phenotype ontology (hpo
D01813,autosomal dominant inheritance - chorioretinal abnormality
D01814,autosomal dominant inheritance - choroid plexus carcinoma - medulloblastoma - neoplasm of the central nervous system - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01815,autosomal dominant inheritance - choroideremia - congenital cataract - myopia - total cataract
D01816,autosomal dominant inheritance - chronic atrophic gastritis - stomach cancer
D01817,autosomal dominant inheritance - chronic constipation - encopresis - the human phenotype ontology (hpo
D01818,autosomal dominant inheritance - circumungual hyperkeratosis - focal friction-related
D01819,autosomal dominant inheritance - cleft palate - flat capital femoral epiphysis - high palate - hypoplasia of the lesser trochanter - patellar dislocation
D01820,autosomal dominant inheritance - cleft upper lip - clinodactyly - conical tooth - distichiasis - ectropion of lower eyelids - hypodontia - small nail - the human phenotype ontology (hpo
D01821,autosomal dominant inheritance - clinodactyly - radial deviation of finger - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01822,autosomal dominant inheritance - clitoromegaly - esophageal obstruction
D01823,autosomal dominant inheritance - colon cancer
D01824,autosomal dominant inheritance - concave nail - the human phenotype ontology (hpo
D01825,autosomal dominant inheritance - congenital
D01826,autosomal dominant inheritance - congenital bullous ichthyosiform erythroderma
D01827,autosomal dominant inheritance - congenital bullous ichthyosiform erythroderma - dilated cardiomyopathy - reduced number of teeth - the human phenotype ontology (hpo
D01828,autosomal dominant inheritance - congenital cataract - cortical pulverulent cataract - iris coloboma - microcornea - sutural cataract - visual loss
D01829,autosomal dominant inheritance - congenital finger flexion contractures - hand polydactyly - septate vagina - short toe - syndactyly - urinary incontinence
D01830,autosomal dominant inheritance - congenital glaucoma
D01831,autosomal dominant inheritance - congenital hip dislocation
D01832,autosomal dominant inheritance - congenital hypoplastic anemia
D01833,autosomal dominant inheritance - congenital nystagmus
D01834,autosomal dominant inheritance - congenital ptosis
D01835,autosomal dominant inheritance - congenital strabismus - duane anomaly
D01836,autosomal dominant inheritance - congestive heart failure - cyanosis - first degree atrioventricular block
D01837,autosomal dominant inheritance - corneal arcus - coronary artery disease
D01838,autosomal dominant inheritance - corneal dystrophy
D01839,autosomal dominant inheritance - corneal dystrophy - corneal erosion
D01840,autosomal dominant inheritance - corneal dystrophy - crystalline corneal dystrophy
D01841,autosomal dominant inheritance - corneal dystrophy - delayed eruption of primary teeth - failure of eruption of permanent teeth - the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
D01842,autosomal dominant inheritance - corneal dystrophy - map-dot-fingerprint corneal dystrophy - recurrent corneal erosions
D01843,autosomal dominant inheritance - corneal erosion
D01844,autosomal dominant inheritance - coxa vara
D01845,autosomal dominant inheritance - cupped ear - hearing impairment - intellectual disability
