:START_ID(Question),:END_ID(Chemical),:TYPE
Q01560,C01843,QUESTION_HAS_CHEMICAL
Q01560,C01475,QUESTION_HAS_CHEMICAL
Q01564,C00135,QUESTION_HAS_CHEMICAL
Q01564,C00234,QUESTION_HAS_CHEMICAL
Q01569,C01475,QUESTION_HAS_CHEMICAL
Q01572,C00475,QUESTION_HAS_CHEMICAL
Q01572,C01775,QUESTION_HAS_CHEMICAL
Q01572,C01847,QUESTION_HAS_CHEMICAL
Q01572,C01845,QUESTION_HAS_CHEMICAL
Q01573,C01130,QUESTION_HAS_CHEMICAL
Q01573,C00694,QUESTION_HAS_CHEMICAL
Q01573,C00391,QUESTION_HAS_CHEMICAL
Q01574,C01950,QUESTION_HAS_CHEMICAL
Q01575,C01283,QUESTION_HAS_CHEMICAL
Q01578,C00255,QUESTION_HAS_CHEMICAL
Q01578,C00279,QUESTION_HAS_CHEMICAL
Q01579,C02217,QUESTION_HAS_CHEMICAL
Q01579,C01445,QUESTION_HAS_CHEMICAL
Q01580,C01256,QUESTION_HAS_CHEMICAL
Q01581,C01475,QUESTION_HAS_CHEMICAL
Q01582,C00135,QUESTION_HAS_CHEMICAL
Q01582,C00535,QUESTION_HAS_CHEMICAL
Q01583,C00901,QUESTION_HAS_CHEMICAL
Q01583,C00485,QUESTION_HAS_CHEMICAL
Q01588,C02217,QUESTION_HAS_CHEMICAL
Q01590,C01482,QUESTION_HAS_CHEMICAL
Q01591,C01843,QUESTION_HAS_CHEMICAL
Q01592,C00475,QUESTION_HAS_CHEMICAL
Q01592,C01785,QUESTION_HAS_CHEMICAL
Q01592,C00208,QUESTION_HAS_CHEMICAL
Q01592,C02234,QUESTION_HAS_CHEMICAL
Q01592,C00313,QUESTION_HAS_CHEMICAL
Q01593,C01897,QUESTION_HAS_CHEMICAL
Q01595,C00485,QUESTION_HAS_CHEMICAL
Q01597,C00334,QUESTION_HAS_CHEMICAL
Q01597,C01475,QUESTION_HAS_CHEMICAL
Q01604,C01475,QUESTION_HAS_CHEMICAL
Q01605,C00135,QUESTION_HAS_CHEMICAL
Q01607,C02217,QUESTION_HAS_CHEMICAL
Q01607,C00825,QUESTION_HAS_CHEMICAL
Q01608,C00565,QUESTION_HAS_CHEMICAL
Q01608,C00485,QUESTION_HAS_CHEMICAL
Q01608,C00527,QUESTION_HAS_CHEMICAL
Q01608,C00391,QUESTION_HAS_CHEMICAL
Q01609,C00313,QUESTION_HAS_CHEMICAL
Q01617,C00279,QUESTION_HAS_CHEMICAL
Q01617,C00079,QUESTION_HAS_CHEMICAL
Q01617,C01036,QUESTION_HAS_CHEMICAL
Q01625,C00609,QUESTION_HAS_CHEMICAL
Q01629,C01842,QUESTION_HAS_CHEMICAL
Q01629,C00485,QUESTION_HAS_CHEMICAL
Q01631,C00554,QUESTION_HAS_CHEMICAL
Q01632,C00135,QUESTION_HAS_CHEMICAL
Q01632,C01085,QUESTION_HAS_CHEMICAL
Q01636,C02110,QUESTION_HAS_CHEMICAL
Q01637,C01775,QUESTION_HAS_CHEMICAL
Q01639,C01842,QUESTION_HAS_CHEMICAL
Q01639,C01403,QUESTION_HAS_CHEMICAL
Q01646,C01842,QUESTION_HAS_CHEMICAL
Q01646,C01475,QUESTION_HAS_CHEMICAL
Q01646,C00137,QUESTION_HAS_CHEMICAL
Q01646,C00425,QUESTION_HAS_CHEMICAL
Q01646,C00844,QUESTION_HAS_CHEMICAL
Q01647,C00901,QUESTION_HAS_CHEMICAL
Q01649,C00482,QUESTION_HAS_CHEMICAL
Q01649,C00941,QUESTION_HAS_CHEMICAL
Q01653,C01845,QUESTION_HAS_CHEMICAL
Q01653,C00485,QUESTION_HAS_CHEMICAL
Q01656,C00901,QUESTION_HAS_CHEMICAL
Q01657,C00378,QUESTION_HAS_CHEMICAL
Q01658,C01842,QUESTION_HAS_CHEMICAL
Q01663,C01475,QUESTION_HAS_CHEMICAL
Q01666,C01064,QUESTION_HAS_CHEMICAL
Q01669,C01475,QUESTION_HAS_CHEMICAL
Q01671,C00553,QUESTION_HAS_CHEMICAL
Q01672,C02196,QUESTION_HAS_CHEMICAL
Q01672,C00321,QUESTION_HAS_CHEMICAL
Q01672,C01792,QUESTION_HAS_CHEMICAL
Q01672,C01226,QUESTION_HAS_CHEMICAL
Q01672,C02161,QUESTION_HAS_CHEMICAL
Q01672,C01227,QUESTION_HAS_CHEMICAL
Q01674,C00807,QUESTION_HAS_CHEMICAL
Q01675,C01903,QUESTION_HAS_CHEMICAL
Q01675,C00551,QUESTION_HAS_CHEMICAL
Q01675,C01897,QUESTION_HAS_CHEMICAL
Q01682,C01842,QUESTION_HAS_CHEMICAL
Q01685,C01272,QUESTION_HAS_CHEMICAL
Q01685,C01830,QUESTION_HAS_CHEMICAL
Q01685,C01273,QUESTION_HAS_CHEMICAL
Q01689,C00135,QUESTION_HAS_CHEMICAL
Q01689,C02217,QUESTION_HAS_CHEMICAL
Q01689,C00485,QUESTION_HAS_CHEMICAL
Q01691,C00135,QUESTION_HAS_CHEMICAL
Q01692,C02159,QUESTION_HAS_CHEMICAL
Q01692,C02217,QUESTION_HAS_CHEMICAL
Q01693,C00116,QUESTION_HAS_CHEMICAL
Q01693,C00730,QUESTION_HAS_CHEMICAL
Q01695,C02011,QUESTION_HAS_CHEMICAL
Q01695,C01398,QUESTION_HAS_CHEMICAL
Q01695,C00303,QUESTION_HAS_CHEMICAL
Q01695,C01509,QUESTION_HAS_CHEMICAL
Q01695,C01149,QUESTION_HAS_CHEMICAL
Q01695,C02217,QUESTION_HAS_CHEMICAL
Q01696,C01383,QUESTION_HAS_CHEMICAL
Q01696,C01338,QUESTION_HAS_CHEMICAL
Q01696,C00279,QUESTION_HAS_CHEMICAL
Q01696,C00119,QUESTION_HAS_CHEMICAL
Q01696,C00079,QUESTION_HAS_CHEMICAL
Q01696,C00145,QUESTION_HAS_CHEMICAL
Q01696,C02097,QUESTION_HAS_CHEMICAL
Q01696,C01036,QUESTION_HAS_CHEMICAL
Q01698,C00748,QUESTION_HAS_CHEMICAL
Q01700,C01354,QUESTION_HAS_CHEMICAL
Q01700,C00547,QUESTION_HAS_CHEMICAL
Q01701,C01532,QUESTION_HAS_CHEMICAL
Q01701,C00610,QUESTION_HAS_CHEMICAL
Q01704,C00426,QUESTION_HAS_CHEMICAL
Q01704,C01842,QUESTION_HAS_CHEMICAL
Q01705,C01843,QUESTION_HAS_CHEMICAL
Q01705,C01842,QUESTION_HAS_CHEMICAL
Q01706,C01775,QUESTION_HAS_CHEMICAL
Q01706,C01845,QUESTION_HAS_CHEMICAL
Q01706,C00485,QUESTION_HAS_CHEMICAL
Q01707,C00901,QUESTION_HAS_CHEMICAL
Q01711,C00485,QUESTION_HAS_CHEMICAL
Q01714,C00391,QUESTION_HAS_CHEMICAL
Q01714,C02251,QUESTION_HAS_CHEMICAL
Q01714,C02171,QUESTION_HAS_CHEMICAL
Q01714,C01085,QUESTION_HAS_CHEMICAL
Q01721,C01475,QUESTION_HAS_CHEMICAL
Q01723,C00135,QUESTION_HAS_CHEMICAL
Q01723,C00901,QUESTION_HAS_CHEMICAL
Q01724,C01535,QUESTION_HAS_CHEMICAL
Q01726,C02217,QUESTION_HAS_CHEMICAL
Q01726,C00249,QUESTION_HAS_CHEMICAL
Q01727,C00135,QUESTION_HAS_CHEMICAL
Q01727,C00382,QUESTION_HAS_CHEMICAL
Q01732,C02217,QUESTION_HAS_CHEMICAL
Q01734,C00882,QUESTION_HAS_CHEMICAL
Q01738,C02251,QUESTION_HAS_CHEMICAL
Q01738,C00813,QUESTION_HAS_CHEMICAL
Q01738,C00473,QUESTION_HAS_CHEMICAL
Q01738,C00534,QUESTION_HAS_CHEMICAL
Q01738,C01946,QUESTION_HAS_CHEMICAL
Q01738,C01792,QUESTION_HAS_CHEMICAL
Q01738,C01085,QUESTION_HAS_CHEMICAL
Q01738,C01234,QUESTION_HAS_CHEMICAL
Q01738,C01845,QUESTION_HAS_CHEMICAL
Q01738,C01598,QUESTION_HAS_CHEMICAL
Q01738,C00547,QUESTION_HAS_CHEMICAL
Q01738,C00391,QUESTION_HAS_CHEMICAL
Q01739,C00260,QUESTION_HAS_CHEMICAL
Q01740,C00901,QUESTION_HAS_CHEMICAL
Q01746,C00901,QUESTION_HAS_CHEMICAL
Q01747,C00901,QUESTION_HAS_CHEMICAL
Q01750,C00391,QUESTION_HAS_CHEMICAL
Q01750,C02182,QUESTION_HAS_CHEMICAL
Q01750,C02188,QUESTION_HAS_CHEMICAL
Q01750,C02217,QUESTION_HAS_CHEMICAL
Q01751,C00867,QUESTION_HAS_CHEMICAL
Q01751,C00334,QUESTION_HAS_CHEMICAL
Q01751,C00278,QUESTION_HAS_CHEMICAL
Q01751,C00131,QUESTION_HAS_CHEMICAL
Q01752,C00135,QUESTION_HAS_CHEMICAL
Q01754,C00901,QUESTION_HAS_CHEMICAL
Q01756,C02217,QUESTION_HAS_CHEMICAL
Q01756,C00485,QUESTION_HAS_CHEMICAL
Q01759,C00247,QUESTION_HAS_CHEMICAL
Q01767,C02017,QUESTION_HAS_CHEMICAL
Q01772,C01475,QUESTION_HAS_CHEMICAL
Q01772,C01540,QUESTION_HAS_CHEMICAL
Q01773,C01842,QUESTION_HAS_CHEMICAL
Q01773,C01998,QUESTION_HAS_CHEMICAL
Q01773,C01669,QUESTION_HAS_CHEMICAL
Q01774,C00079,QUESTION_HAS_CHEMICAL
Q01774,C00279,QUESTION_HAS_CHEMICAL
Q01780,C00426,QUESTION_HAS_CHEMICAL
Q01780,C00829,QUESTION_HAS_CHEMICAL
Q01780,C01842,QUESTION_HAS_CHEMICAL
Q01781,C01614,QUESTION_HAS_CHEMICAL
Q01781,C01897,QUESTION_HAS_CHEMICAL
Q01783,C00135,QUESTION_HAS_CHEMICAL
Q01787,C02179,QUESTION_HAS_CHEMICAL
Q01787,C02217,QUESTION_HAS_CHEMICAL
Q01787,C01085,QUESTION_HAS_CHEMICAL
Q01788,C01585,QUESTION_HAS_CHEMICAL
Q01788,C00424,QUESTION_HAS_CHEMICAL
Q01790,C00485,QUESTION_HAS_CHEMICAL
Q01793,C01482,QUESTION_HAS_CHEMICAL
Q01793,C00415,QUESTION_HAS_CHEMICAL
Q01796,C00135,QUESTION_HAS_CHEMICAL
Q01797,C00485,QUESTION_HAS_CHEMICAL
Q01800,C00825,QUESTION_HAS_CHEMICAL
Q01801,C01354,QUESTION_HAS_CHEMICAL
Q01801,C00825,QUESTION_HAS_CHEMICAL
Q01802,C01475,QUESTION_HAS_CHEMICAL
Q01802,C01776,QUESTION_HAS_CHEMICAL
Q01805,C01475,QUESTION_HAS_CHEMICAL
Q01806,C01998,QUESTION_HAS_CHEMICAL
Q01811,C00135,QUESTION_HAS_CHEMICAL
Q01811,C01950,QUESTION_HAS_CHEMICAL
Q01815,C01475,QUESTION_HAS_CHEMICAL
Q01817,C01661,QUESTION_HAS_CHEMICAL
Q01817,C00391,QUESTION_HAS_CHEMICAL
Q01818,C01842,QUESTION_HAS_CHEMICAL
Q01821,C01115,QUESTION_HAS_CHEMICAL
Q01821,C00901,QUESTION_HAS_CHEMICAL
Q01821,C00334,QUESTION_HAS_CHEMICAL
Q01832,C00135,QUESTION_HAS_CHEMICAL
Q01832,C02217,QUESTION_HAS_CHEMICAL
Q01833,C00485,QUESTION_HAS_CHEMICAL
Q01834,C02017,QUESTION_HAS_CHEMICAL
Q01836,C01842,QUESTION_HAS_CHEMICAL
Q01839,C00135,QUESTION_HAS_CHEMICAL
Q01841,C00391,QUESTION_HAS_CHEMICAL
Q01843,C00485,QUESTION_HAS_CHEMICAL
Q01845,C00279,QUESTION_HAS_CHEMICAL
Q01845,C02235,QUESTION_HAS_CHEMICAL
Q01845,C02017,QUESTION_HAS_CHEMICAL
Q01845,C00968,QUESTION_HAS_CHEMICAL
Q01846,C00071,QUESTION_HAS_CHEMICAL
Q01851,C01842,QUESTION_HAS_CHEMICAL
Q01852,C00901,QUESTION_HAS_CHEMICAL
Q01853,C01085,QUESTION_HAS_CHEMICAL
Q01856,C02109,QUESTION_HAS_CHEMICAL
Q01857,C01998,QUESTION_HAS_CHEMICAL
Q01859,C00813,QUESTION_HAS_CHEMICAL
Q01861,C01475,QUESTION_HAS_CHEMICAL
Q01861,C01085,QUESTION_HAS_CHEMICAL
Q01862,C01828,QUESTION_HAS_CHEMICAL
Q01866,C01079,QUESTION_HAS_CHEMICAL
Q01872,C01903,QUESTION_HAS_CHEMICAL
Q01875,C01256,QUESTION_HAS_CHEMICAL
Q01881,C00135,QUESTION_HAS_CHEMICAL
Q01882,C00500,QUESTION_HAS_CHEMICAL
Q01882,C01843,QUESTION_HAS_CHEMICAL
Q01882,C02007,QUESTION_HAS_CHEMICAL
Q01885,C00279,QUESTION_HAS_CHEMICAL
Q01885,C00901,QUESTION_HAS_CHEMICAL
Q01885,C00485,QUESTION_HAS_CHEMICAL
Q01886,C00135,QUESTION_HAS_CHEMICAL
Q01886,C01475,QUESTION_HAS_CHEMICAL
Q01886,C01085,QUESTION_HAS_CHEMICAL
Q01887,C00279,QUESTION_HAS_CHEMICAL
Q01889,C01219,QUESTION_HAS_CHEMICAL
Q01889,C01475,QUESTION_HAS_CHEMICAL
Q01899,C00135,QUESTION_HAS_CHEMICAL
Q01901,C00747,QUESTION_HAS_CHEMICAL
Q01901,C01627,QUESTION_HAS_CHEMICAL
Q01903,C00807,QUESTION_HAS_CHEMICAL
Q01908,C01475,QUESTION_HAS_CHEMICAL
Q01914,C00901,QUESTION_HAS_CHEMICAL
Q01915,C00747,QUESTION_HAS_CHEMICAL
Q01915,C01627,QUESTION_HAS_CHEMICAL
Q01918,C00992,QUESTION_HAS_CHEMICAL
Q01919,C01845,QUESTION_HAS_CHEMICAL
Q01921,C02217,QUESTION_HAS_CHEMICAL
Q01927,C01475,QUESTION_HAS_CHEMICAL
Q01927,C00844,QUESTION_HAS_CHEMICAL
Q01929,C00391,QUESTION_HAS_CHEMICAL
Q01929,C01085,QUESTION_HAS_CHEMICAL
Q01933,C00901,QUESTION_HAS_CHEMICAL
Q01934,C00135,QUESTION_HAS_CHEMICAL
Q01935,C01475,QUESTION_HAS_CHEMICAL
Q01936,C00901,QUESTION_HAS_CHEMICAL
Q01943,C01842,QUESTION_HAS_CHEMICAL
Q01944,C01422,QUESTION_HAS_CHEMICAL
Q01953,C02217,QUESTION_HAS_CHEMICAL
Q01953,C01546,QUESTION_HAS_CHEMICAL
Q01953,C01541,QUESTION_HAS_CHEMICAL
Q01956,C00553,QUESTION_HAS_CHEMICAL
Q01957,C02182,QUESTION_HAS_CHEMICAL
Q01957,C00391,QUESTION_HAS_CHEMICAL
Q01964,C01974,QUESTION_HAS_CHEMICAL
Q01965,C00135,QUESTION_HAS_CHEMICAL
Q01965,C02182,QUESTION_HAS_CHEMICAL
Q01965,C00391,QUESTION_HAS_CHEMICAL
Q01966,C01842,QUESTION_HAS_CHEMICAL
Q01969,C00135,QUESTION_HAS_CHEMICAL
Q01970,C01475,QUESTION_HAS_CHEMICAL
Q01970,C00485,QUESTION_HAS_CHEMICAL
Q01975,C01842,QUESTION_HAS_CHEMICAL
Q01975,C00079,QUESTION_HAS_CHEMICAL
Q01975,C00279,QUESTION_HAS_CHEMICAL
Q01975,C00844,QUESTION_HAS_CHEMICAL
Q01981,C01475,QUESTION_HAS_CHEMICAL
Q01981,C01776,QUESTION_HAS_CHEMICAL
Q01983,C00901,QUESTION_HAS_CHEMICAL
Q01984,C00079,QUESTION_HAS_CHEMICAL
Q01990,C00610,QUESTION_HAS_CHEMICAL
Q01990,C01421,QUESTION_HAS_CHEMICAL
Q02006,C01475,QUESTION_HAS_CHEMICAL
Q02009,C00135,QUESTION_HAS_CHEMICAL
Q02010,C01403,QUESTION_HAS_CHEMICAL
Q02012,C01843,QUESTION_HAS_CHEMICAL
Q02018,C00135,QUESTION_HAS_CHEMICAL
Q02022,C01842,QUESTION_HAS_CHEMICAL
Q02022,C00485,QUESTION_HAS_CHEMICAL
Q02025,C00475,QUESTION_HAS_CHEMICAL
Q02025,C01845,QUESTION_HAS_CHEMICAL
Q02025,C01234,QUESTION_HAS_CHEMICAL
Q02025,C01598,QUESTION_HAS_CHEMICAL
Q02025,C01552,QUESTION_HAS_CHEMICAL
Q02025,C00391,QUESTION_HAS_CHEMICAL
Q02027,C01598,QUESTION_HAS_CHEMICAL
Q02027,C01845,QUESTION_HAS_CHEMICAL
Q02031,C00138,QUESTION_HAS_CHEMICAL
Q02036,C01265,QUESTION_HAS_CHEMICAL
Q02039,C00290,QUESTION_HAS_CHEMICAL
Q02044,C00234,QUESTION_HAS_CHEMICAL
Q02047,C00356,QUESTION_HAS_CHEMICAL
Q02048,C00135,QUESTION_HAS_CHEMICAL
Q02050,C01614,QUESTION_HAS_CHEMICAL
Q02050,C01897,QUESTION_HAS_CHEMICAL
Q02051,C02041,QUESTION_HAS_CHEMICAL
Q02053,C00135,QUESTION_HAS_CHEMICAL
Q02057,C01892,QUESTION_HAS_CHEMICAL
Q02057,C01891,QUESTION_HAS_CHEMICAL
Q02057,C00485,QUESTION_HAS_CHEMICAL
Q02064,C00135,QUESTION_HAS_CHEMICAL
Q02067,C01475,QUESTION_HAS_CHEMICAL
Q02068,C01842,QUESTION_HAS_CHEMICAL
Q02071,C00426,QUESTION_HAS_CHEMICAL
Q02072,C00135,QUESTION_HAS_CHEMICAL
Q02073,C01403,QUESTION_HAS_CHEMICAL
Q02083,C00680,QUESTION_HAS_CHEMICAL
Q02085,C01079,QUESTION_HAS_CHEMICAL
Q02086,C02203,QUESTION_HAS_CHEMICAL
Q02086,C02217,QUESTION_HAS_CHEMICAL
Q02086,C02182,QUESTION_HAS_CHEMICAL
Q02086,C00391,QUESTION_HAS_CHEMICAL
Q02088,C02017,QUESTION_HAS_CHEMICAL
Q02100,C01842,QUESTION_HAS_CHEMICAL
Q02101,C00135,QUESTION_HAS_CHEMICAL
Q02101,C02182,QUESTION_HAS_CHEMICAL
Q02101,C00391,QUESTION_HAS_CHEMICAL
Q02110,C00255,QUESTION_HAS_CHEMICAL
Q02111,C00249,QUESTION_HAS_CHEMICAL
Q02118,C01044,QUESTION_HAS_CHEMICAL
Q02121,C00249,QUESTION_HAS_CHEMICAL
Q02134,C00135,QUESTION_HAS_CHEMICAL
Q02135,C00565,QUESTION_HAS_CHEMICAL
Q02144,C02182,QUESTION_HAS_CHEMICAL
Q02144,C00391,QUESTION_HAS_CHEMICAL
Q02148,C00485,QUESTION_HAS_CHEMICAL
Q02152,C02196,QUESTION_HAS_CHEMICAL
Q02152,C00942,QUESTION_HAS_CHEMICAL
Q02152,C02206,QUESTION_HAS_CHEMICAL
Q02152,C02217,QUESTION_HAS_CHEMICAL
Q02152,C02017,QUESTION_HAS_CHEMICAL
Q02160,C00485,QUESTION_HAS_CHEMICAL
Q02165,C00256,QUESTION_HAS_CHEMICAL
Q02168,C01475,QUESTION_HAS_CHEMICAL
Q02169,C01775,QUESTION_HAS_CHEMICAL
Q02170,C01475,QUESTION_HAS_CHEMICAL
Q02176,C00279,QUESTION_HAS_CHEMICAL
Q02179,C01816,QUESTION_HAS_CHEMICAL
Q02183,C02217,QUESTION_HAS_CHEMICAL
Q02186,C00813,QUESTION_HAS_CHEMICAL
Q02188,C01897,QUESTION_HAS_CHEMICAL
Q02191,C00901,QUESTION_HAS_CHEMICAL
Q02194,C00901,QUESTION_HAS_CHEMICAL
Q02201,C01950,QUESTION_HAS_CHEMICAL
Q02205,C00135,QUESTION_HAS_CHEMICAL
Q02207,C00135,QUESTION_HAS_CHEMICAL
Q02207,C01036,QUESTION_HAS_CHEMICAL
Q02207,C00234,QUESTION_HAS_CHEMICAL
Q02207,C00279,QUESTION_HAS_CHEMICAL
Q02215,C02196,QUESTION_HAS_CHEMICAL
Q02215,C01251,QUESTION_HAS_CHEMICAL
Q02215,C02217,QUESTION_HAS_CHEMICAL
Q02215,C02017,QUESTION_HAS_CHEMICAL
Q02216,C00135,QUESTION_HAS_CHEMICAL
Q02221,C00825,QUESTION_HAS_CHEMICAL
Q02225,C01776,QUESTION_HAS_CHEMICAL
Q02228,C00397,QUESTION_HAS_CHEMICAL
Q02228,C01667,QUESTION_HAS_CHEMICAL
Q02228,C02110,QUESTION_HAS_CHEMICAL
Q02229,C00135,QUESTION_HAS_CHEMICAL
Q02229,C00485,QUESTION_HAS_CHEMICAL
Q02231,C02107,QUESTION_HAS_CHEMICAL
Q02233,C01330,QUESTION_HAS_CHEMICAL
Q02236,C02159,QUESTION_HAS_CHEMICAL
Q02236,C00823,QUESTION_HAS_CHEMICAL
Q02236,C02011,QUESTION_HAS_CHEMICAL
Q02236,C02206,QUESTION_HAS_CHEMICAL
Q02236,C01727,QUESTION_HAS_CHEMICAL
Q02236,C02220,QUESTION_HAS_CHEMICAL
Q02236,C02161,QUESTION_HAS_CHEMICAL
Q02236,C01398,QUESTION_HAS_CHEMICAL
Q02236,C02167,QUESTION_HAS_CHEMICAL
Q02236,C02179,QUESTION_HAS_CHEMICAL
Q02236,C02171,QUESTION_HAS_CHEMICAL
Q02236,C02213,QUESTION_HAS_CHEMICAL
Q02236,C02217,QUESTION_HAS_CHEMICAL
Q02236,C02168,QUESTION_HAS_CHEMICAL
Q02238,C00425,QUESTION_HAS_CHEMICAL
Q02241,C01475,QUESTION_HAS_CHEMICAL
Q02241,C00901,QUESTION_HAS_CHEMICAL
Q02243,C00135,QUESTION_HAS_CHEMICAL
Q02252,C00279,QUESTION_HAS_CHEMICAL
Q02257,C01842,QUESTION_HAS_CHEMICAL
Q02260,C01842,QUESTION_HAS_CHEMICAL
Q02261,C00212,QUESTION_HAS_CHEMICAL
Q02261,C00535,QUESTION_HAS_CHEMICAL
Q02261,C01903,QUESTION_HAS_CHEMICAL
Q02262,C00279,QUESTION_HAS_CHEMICAL
Q02263,C00135,QUESTION_HAS_CHEMICAL
Q02267,C01475,QUESTION_HAS_CHEMICAL
Q02271,C00391,QUESTION_HAS_CHEMICAL
Q02271,C02182,QUESTION_HAS_CHEMICAL
Q02271,C01085,QUESTION_HAS_CHEMICAL
Q02275,C00768,QUESTION_HAS_CHEMICAL
Q02284,C00382,QUESTION_HAS_CHEMICAL
Q02284,C01927,QUESTION_HAS_CHEMICAL
Q02285,C02217,QUESTION_HAS_CHEMICAL
Q02286,C00825,QUESTION_HAS_CHEMICAL
Q02291,C00135,QUESTION_HAS_CHEMICAL
Q02292,C01775,QUESTION_HAS_CHEMICAL
Q02292,C00901,QUESTION_HAS_CHEMICAL
Q02292,C01845,QUESTION_HAS_CHEMICAL
Q02292,C00485,QUESTION_HAS_CHEMICAL
Q02294,C00901,QUESTION_HAS_CHEMICAL
Q02299,C00901,QUESTION_HAS_CHEMICAL
Q02304,C00135,QUESTION_HAS_CHEMICAL
Q02305,C01475,QUESTION_HAS_CHEMICAL
Q02307,C00609,QUESTION_HAS_CHEMICAL
Q02308,C01444,QUESTION_HAS_CHEMICAL
Q02324,C01507,QUESTION_HAS_CHEMICAL
Q02325,C00730,QUESTION_HAS_CHEMICAL
Q02326,C00258,QUESTION_HAS_CHEMICAL
Q02326,C00813,QUESTION_HAS_CHEMICAL
Q02328,C00135,QUESTION_HAS_CHEMICAL
Q02328,C01842,QUESTION_HAS_CHEMICAL
Q02329,C01696,QUESTION_HAS_CHEMICAL
Q02329,C01079,QUESTION_HAS_CHEMICAL
Q02330,C01946,QUESTION_HAS_CHEMICAL
Q02331,C01842,QUESTION_HAS_CHEMICAL
Q02333,C00255,QUESTION_HAS_CHEMICAL
Q02337,C00807,QUESTION_HAS_CHEMICAL
Q02339,C00382,QUESTION_HAS_CHEMICAL
Q02343,C00135,QUESTION_HAS_CHEMICAL
Q02348,C00391,QUESTION_HAS_CHEMICAL
Q02350,C00813,QUESTION_HAS_CHEMICAL
Q02350,C01842,QUESTION_HAS_CHEMICAL
Q02353,C00624,QUESTION_HAS_CHEMICAL
Q02353,C00647,QUESTION_HAS_CHEMICAL
Q02354,C00382,QUESTION_HAS_CHEMICAL
Q02359,C00135,QUESTION_HAS_CHEMICAL
Q02361,C00551,QUESTION_HAS_CHEMICAL
Q02362,C01585,QUESTION_HAS_CHEMICAL
Q02362,C00426,QUESTION_HAS_CHEMICAL
Q02362,C00844,QUESTION_HAS_CHEMICAL
Q02364,C00135,QUESTION_HAS_CHEMICAL
Q02366,C02161,QUESTION_HAS_CHEMICAL
Q02366,C02217,QUESTION_HAS_CHEMICAL
Q02367,C01475,QUESTION_HAS_CHEMICAL
Q02368,C00610,QUESTION_HAS_CHEMICAL
Q02369,C01101,QUESTION_HAS_CHEMICAL
Q02370,C00553,QUESTION_HAS_CHEMICAL
Q02371,C00382,QUESTION_HAS_CHEMICAL
Q02371,C01927,QUESTION_HAS_CHEMICAL
Q02371,C00135,QUESTION_HAS_CHEMICAL
Q02376,C01475,QUESTION_HAS_CHEMICAL
Q02378,C01475,QUESTION_HAS_CHEMICAL
Q02378,C00908,QUESTION_HAS_CHEMICAL
Q02382,C01475,QUESTION_HAS_CHEMICAL
Q02383,C01843,QUESTION_HAS_CHEMICAL
Q02387,C01583,QUESTION_HAS_CHEMICAL
Q02390,C00901,QUESTION_HAS_CHEMICAL
Q02401,C00485,QUESTION_HAS_CHEMICAL
Q02406,C01842,QUESTION_HAS_CHEMICAL
Q02406,C01475,QUESTION_HAS_CHEMICAL
Q02406,C00844,QUESTION_HAS_CHEMICAL
Q02407,C00135,QUESTION_HAS_CHEMICAL
Q02408,C00540,QUESTION_HAS_CHEMICAL
Q02409,C00135,QUESTION_HAS_CHEMICAL
Q02412,C02217,QUESTION_HAS_CHEMICAL
Q02413,C00135,QUESTION_HAS_CHEMICAL
Q02413,C01842,QUESTION_HAS_CHEMICAL
Q02413,C00391,QUESTION_HAS_CHEMICAL
Q02416,C01957,QUESTION_HAS_CHEMICAL
Q02417,C01950,QUESTION_HAS_CHEMICAL
Q02417,C00378,QUESTION_HAS_CHEMICAL
Q02417,C02182,QUESTION_HAS_CHEMICAL
Q02417,C00391,QUESTION_HAS_CHEMICAL
Q02425,C00391,QUESTION_HAS_CHEMICAL
Q02425,C00485,QUESTION_HAS_CHEMICAL
Q02426,C00887,QUESTION_HAS_CHEMICAL
Q02426,C01892,QUESTION_HAS_CHEMICAL
Q02426,C00279,QUESTION_HAS_CHEMICAL
Q02436,C01903,QUESTION_HAS_CHEMICAL
Q02437,C00747,QUESTION_HAS_CHEMICAL
Q02441,C02217,QUESTION_HAS_CHEMICAL
Q02441,C01845,QUESTION_HAS_CHEMICAL
Q02441,C00485,QUESTION_HAS_CHEMICAL
Q02446,C00391,QUESTION_HAS_CHEMICAL
Q02446,C00401,QUESTION_HAS_CHEMICAL
Q02446,C00410,QUESTION_HAS_CHEMICAL
Q02446,C00975,QUESTION_HAS_CHEMICAL
Q02447,C00825,QUESTION_HAS_CHEMICAL
Q02448,C01507,QUESTION_HAS_CHEMICAL
Q02452,C01903,QUESTION_HAS_CHEMICAL
Q02452,C01283,QUESTION_HAS_CHEMICAL
Q02452,C00535,QUESTION_HAS_CHEMICAL
Q02452,C00970,QUESTION_HAS_CHEMICAL
Q02466,C00807,QUESTION_HAS_CHEMICAL
Q02470,C00813,QUESTION_HAS_CHEMICAL
Q02470,C00475,QUESTION_HAS_CHEMICAL
Q02474,C01903,QUESTION_HAS_CHEMICAL
Q02475,C01475,QUESTION_HAS_CHEMICAL
Q02475,C00825,QUESTION_HAS_CHEMICAL
Q02475,C02171,QUESTION_HAS_CHEMICAL
Q02475,C01085,QUESTION_HAS_CHEMICAL
Q02476,C02217,QUESTION_HAS_CHEMICAL
Q02480,C00564,QUESTION_HAS_CHEMICAL
Q02480,C01029,QUESTION_HAS_CHEMICAL
